pl,sg,broad_category,category,synset
figurers,figurer,noun.person,noun.person.expert,calculator.n.01
cannulas,cannula,noun.artifact,noun.artifact.way,cannula.n.01
springers,springer,noun.artifact,noun.artifact.building_material,springer.n.01
sprayings,spraying,noun.act,noun.act.change_of_magnitude,crop-dusting.n.01
eyesores,eyesore,noun.attribute,noun.attribute.appearance,eyesore.n.01
rabbis,rabbi,noun.person,noun.person.leader,rabbi.n.01
stampedes,stampede,noun.act,noun.act,stampede.n.01
panders,pander,noun.person,noun.person.bad_person,pimp.n.01
advancers,advancer,noun.person,noun.person.traveler,advancer.n.01
ledges,ledge,noun.object,noun.object.geological_formation,ledge.n.01
whinnies,whinny,noun.event,noun.event.sound,neigh.n.01
vaulters,vaulter,noun.person,noun.person.contestant,vaulter.n.01
jesters,jester,noun.person,noun.person.entertainer,jester.n.01
floodplains,floodplain,noun.object,noun.object.land,floodplain.n.01
hazes,haze,noun.phenomenon,noun.phenomenon.physical_phenomenon,haze.n.01
pesetas,peseta,noun.quantity,noun.quantity.monetary_unit,peseta.n.01
firstborns,firstborn,noun.person,noun.person.relative,firstborn.n.01
toners,toner,noun.substance,noun.substance.mixture,toner.n.01
appeasers,appeaser,noun.person,noun.person.communicator,appeaser.n.01
workaholics,workaholic,noun.person,noun.person,workaholic.n.01
notations,notation,noun.communication,noun.communication.writing,notation.n.01
ferrets,ferret,noun.animal,noun.animal.carnivore,black-footed_ferret.n.01
fifes,fife,noun.artifact,noun.artifact.musical_instrument,fife.n.01
vocabularies,vocabulary,noun.communication,noun.communication.product,vocabulary.n.01
excellences,excellence,noun.attribute,noun.attribute,excellence.n.01
baubles,bauble,noun.communication,noun.communication.signal,bauble.n.01
sunflowers,sunflower,noun.plant,noun.plant.flower,sunflower.n.01
jests,jest,noun.communication,noun.communication.wit,joke.n.01
downers,downer,noun.artifact,noun.artifact.drug_of_abuse,sedative.n.01
winders,winder,noun.person,noun.person,winder.n.01
